desc,eval,img,intro,name,num,star
美丽无罪。,488915人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792400696.jpg,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...,
                            2000 / 意大利 美国 / 剧情 战争 情色
                        ",西西里的美丽传说,65,8.8
你以为你以为的就是你以为的。,537977人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,"
                            导演: 奥里奥尔·保罗 Oriol Paulo   主演: 马里奥·卡萨斯 Mario Casas / 阿...,
                            2016 / 西班牙 / 剧情 犯罪 悬疑 惊悚
                        ",看不见的客人,66,8.7
你给我翻译翻译，神马叫做TMD的惊喜。,850063人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,"
                            导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,
                            2010 / 中国大陆 香港 / 剧情 喜剧 动作 西部
                        ",让子弹飞,67,8.7
孪生蝙蝠侠大战克隆金刚狼。,454100人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 休·杰克曼 Hugh Jackman...,
                            2006 / 美国 英国 / 剧情 悬疑 惊悚
                        ",致命魔术,68,8.8
警察抓小偷，老鼠玩死猫。,547653人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457631605.jpg,"
                            导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布...,
                            1995 / 美国 / 剧情 犯罪 悬疑 惊悚
                        ",七宗罪,69,8.8
美利坚精神输出大片No1.,331252人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...,
                            1998 / 美国 / 剧情 历史 战争
                        ",拯救大兵瑞恩,70,8.9
以戏谑来戏谑戏谑。,401200人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453723669.jpg,"
                            导演: 中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani / 瑛太 E...,
                            2006 / 日本 / 剧情 歌舞
                        ",被嫌弃的松子的一生,71,8.9
经典之作，历久弥新。,158175人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,"
                            导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang   主演: 邱岳峰 Yuefeng Qiu /...,
                            1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 2004(中国大陆) / 中国大陆 / 动画 奇幻
                        ",大闹天宫,72,9.3
童话世界的开端。,402660人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p804947166.jpg,"
                            导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint,
                            2001 / 美国 英国 / 奇幻 冒险
                        ",哈利·波特与魔法石,73,8.9
用音乐化解仇恨，让歌声串起美好。,305295人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg,"
                            导演: 罗伯特·怀斯 Robert Wise   主演: 朱莉·安德鲁斯 Julie Andrews / 克...,
                            1965 / 美国 / 剧情 传记 爱情 歌舞
                        ",音乐之声,74,9.0
故事的高级讲法。,445870人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg,"
                            导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra...,
                            1994 / 美国 / 剧情 喜剧 犯罪
                        ",低俗小说,75,8.8
法式小清新。,608988人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p803896904.jpg,"
                            导演: 让-皮埃尔·热内 Jean-Pierre Jeunet   主演: 奥黛丽·塔图 Audrey Tau...,
                            2001 / 法国 德国 / 喜剧 爱情
                        ",天使爱美丽,76,8.7
安东尼·霍普金斯的顶级表演。,453210人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,"
                            导演: 乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster / 安...,
                            1991 / 美国 / 剧情 犯罪 惊悚
                        ",沉默的羔羊,77,8.8
史诗大片的典范。,362335人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374546770.jpg,"
                            导演: 梅尔·吉布森 Mel Gibson   主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...,
                            1995 / 美国 / 动作 传记 剧情 历史 战争
                        ",勇敢的心,78,8.8
浪漫忧郁的成人童话。,621352人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg,"
                            导演: 蒂姆·波顿 Tim Burton   主演: 约翰尼·德普 Johnny Depp / 薇诺娜·...,
                            1990 / 美国 / 剧情 奇幻 爱情
                        ",剪刀手爱德华,79,8.7
人的命运被自己瞬间的抉择改变。,499538人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,"
                            导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...,
                            2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚
                        ",蝴蝶效应,80,8.7
爱情纠缠，男女一致。,330957人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg,"
                            导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,
                            1997 / 香港 日本 韩国 / 剧情 爱情 同性
                        ",春光乍泄,81,8.9
骗子大师和执著警探的你追我跑故事。,342057人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...,
                            2002 / 美国 加拿大 / 传记 犯罪 剧情
                        ",猫鼠游戏,82,8.9
